filename,status,actual_url,source_page,activity,slot,role,shot_wanted,notes
aquaventure-01.jpg,downloaded,"commons:File:Aquaventure Waterpark-Dubai UAE-Andres Larin.jpg",,Aquaventure,1,hero · official,the signature wide shot,Wikimedia Commons visitor panorama; exact park context and strongest wide overview.
flipside-02.jpg,downloaded,commons:File:Vinyl collection at a record store (Unsplash).jpg,,The Flip Side,2,carousel · category,"record crates, hands flicking through vinyl, Dubai if possible",Wikimedia Commons category photograph by Mr Cup / Fabien Barral; tactile close view along densely packed record crates.
theedit-01.jpg,downloaded,commons:File:Man examines clothing in a boutique while shopping for fashionable attire in a trendy store setting.jpg,,The Edit,1,hero · category,"concept-store rail, styled interior",Wikimedia Commons category photograph by Shixart1985; crop-safe boutique scene with a customer browsing a styled clothing rail.
theedit-02.jpg,downloaded,https://theeditdubai.com/cdn/shop/files/WhatsApp_Image_2021-11-08_at_14.26.25_800x.jpg?v=1636367235,https://theeditdubai.com/pages/about-us,The Edit,2,carousel · category,"concept-store rail, styled interior, Dubai if possible",Official The Edit Dubai photograph; exact storefront entrance and landscaping provide venue-specific context distinct from the category hero.
ibnbattuta-01.jpg,downloaded,commons:File:Ibn Bathutha Mall of Dubai.jpg,,Ibn Battuta Mall,1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph by Challiyil Eswaramangalath Pavithran Vipin; dramatic crop-safe panorama of the richly decorated China Court.
ibnbattuta-02.jpg,downloaded,commons:File:Ibn Battuta Mall on 2 June 2007 Pict 1.jpg,,Ibn Battuta Mall,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Imre Solt; quieter architectural view down another themed court.
ibnbattuta-03.jpg,not_found,,,Ibn Battuta Mall,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The current official page exposes a generic promotional banner rather than an interior gallery; the attributable Commons search yielded two strong distinct courts but no third candid of comparable quality.
fashionavenue-01.jpg,downloaded,https://dmassetsprodcdn.azureedge.net/assets/media/fashion-avenue/seemless-shopping.png,https://thedubaimall.com/en/fashion-avenue,Fashion Avenue,1,hero · official,the signature wide shot,Official Dubai Mall Fashion Avenue photograph; crop-safe interior scene with shoppers and the avenue's sculptural white architecture.
fashionavenue-02.jpg,downloaded,https://dmassetsprodcdn.azureedge.net/assets/media/fashion-avenue/fashion-avenue-hero.jpg,https://thedubaimall.com/en/fashion-avenue,Fashion Avenue,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Fashion Avenue campaign hero; monochrome fashion portrait supplies a distinct editorial close-up from the venue's own page.
fashionavenue-03.jpg,not_found,,,Fashion Avenue,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The official page supplied two strong current images; review and social results did not yield a candid that was both durably downloadable and reliably attributable.
fashiondome-01.jpg,downloaded,"commons:File:Mall of the Emirates, Dubai (8973609608).jpg",,Fashion Dome,1,hero · category,"luxury mall atrium, marble and light",Wikimedia Commons visitor photograph by Fabio Achilli; exact Fashion Dome view with shoppers beneath the glass roof and a crop-safe 4:3 composition.
fashiondome-02.jpg,downloaded,commons:File:P1000559 (5768342895).jpg,,Fashion Dome,2,carousel · category,"luxury mall atrium, marble and light, Dubai if possible",Wikimedia Commons visitor photograph by krebsmaus07; exact Mall of the Emirates dome and arcade in a quieter wide architectural view.
outletvillage-01.jpg,downloaded,https://ua-intl.co/wp-content/uploads/2017/08/news6-1.jpg,https://ua-intl.co/the-outlet-village-opens-its-doors-in-dubai/,The Outlet Village,1,hero · category,Tuscan-style arcade interior,Exact project photograph from U+A Architecture; crop-safe wide view of the Tuscan-style indoor street beneath its glazed roof.
outletvillage-02.jpg,downloaded,https://ua-intl.co/wp-content/uploads/2017/08/image45.jpg,https://ua-intl.co/the-outlet-village-opens-its-doors-in-dubai/,The Outlet Village,2,carousel · category,"Tuscan-style arcade interior, Dubai if possible",Exact project photograph from U+A Architecture; close architectural study of the mall's weathered-brick facade and balcony detail.
nest-01.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2026/04/Filmline-_-The-Nest-_-Architecture-_-JAN-2023-_-1-1-scaled.jpg,https://www.nara.ae/the-nest/,The Nest by Nara,1,hero · official,the signature wide shot,Official Nara photograph; crop-safe sunset overview of the low private pods settled into the reserve dunes.
nest-02.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2026/08/WeOnIt-_-The-Nest-_-Architecture-_-FEB-2026-_-18.jpg,https://www.nara.ae/the-nest/,The Nest by Nara,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Nara photograph; warm pod interior centered on the distinctive glass roof and dune-facing lounge.
nest-03.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2026/08/Stargazing.jpg,https://www.nara.ae/the-nest/,The Nest by Nara,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Nara experience photograph; guests using a telescope beneath a properly dark star field.
nest-04.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2026/08/The-Nest-by-Nara-at-Night.jpg,https://www.nara.ae/the-nest/,The Nest by Nara,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Nara night photograph; illuminated glass-roof pod in the otherwise dark desert substitutes for ephemeral social imagery.
nest-05.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2026/08/Vlad-_-The-Nest-_-Activities-_-DEC-2023-_-2.jpg,https://www.nara.ae/the-nest/,The Nest by Nara,5,carousel · any,whatever else is genuinely good,Official Nara photograph; private outdoor cinema beside a pod adds a genuinely differentiated night activity.
sonara-01.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2025/12/Sonara-Al-Wadi.webp,https://www.nara.ae/sonara-camp-dubai/,Sonara Camp,1,hero · official,the signature wide shot,Official Nara photograph; candlelit camp sweeping through the dunes at dusk in a crop-safe 16:10 frame.
sonara-02.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2025/12/Monn-Chiara-_-Sonara-_-Architecture-_-MAR-2025-_-3-scaled-1.jpg,https://www.nara.ae/sonara-camp-dubai/,Sonara Camp,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Nara photograph; elevated night view shows the full glowing dinner camp beneath a starry sky.
sonara-03.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2024/09/Sonara-fire-show.jpg,https://www.nara.ae/sonara-camp-dubai/,Sonara Camp,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Nara experience photograph; close fire performer and silhouetted audience capture the camp's live evening atmosphere.
sonara-04.jpg,downloaded,https://www.nara.ae/wp-content/uploads/2025/12/Murrindi-_-Sonara-Camp-_-Food-_-JUN-2023-_-2-scaled-1.jpg,https://www.nara.ae/sonara-camp-dubai/,Sonara Camp,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Nara food photograph; generous mezze and grilled dinner spread substitutes for non-durable social imagery.
balloon-01.jpg,downloaded,https://www.visitdubai.com/-/media/gathercontent/poi/b/balloon-adventures/fallback-image/balloon-adventures-04.jpg?ch=1080&cw=1920&cx=0.5&cy=0.5&rev=a06aa7945b014018aadaec3537549695,https://www.visitdubai.com/places-to-visit/balloon-adventures-emirates,Balloon over the dunes,1,hero · official,the signature wide shot,Official Visit Dubai photograph; three balloons over richly modeled golden dunes in a clean crop-safe 16:9 landscape.
balloon-02.jpg,downloaded,https://uae.heroballoonflights.com/storage/350/Signature-Experience-Carousel-3-Desktop-min.jpg,https://uae.heroballoonflights.com/signature-experience,Balloon over the dunes,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Hero Balloon Flights photograph; couple sharing the sunrise view from inside the basket.
balloon-03.jpg,downloaded,https://uae.heroballoonflights.com/storage/352/Signature-Experience-Carousel-4-Desktop-min.jpg,https://uae.heroballoonflights.com/signature-experience,Balloon over the dunes,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Hero Balloon Flights photograph; close falcon encounter in the basket with a second balloon over the dunes behind.
balloon-04.jpg,not_found,,,Balloon over the dunes,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",The current operator page and official tourism listing yielded three strong distinct exact photographs; social assets were not durably downloadable with reliable provenance.
balloon-05.jpg,not_found,,,Balloon over the dunes,5,carousel · any,whatever else is genuinely good,Remaining official page images repeated the same basket moments or showed transfers and breakfast rather than the flight; no fifth image improved the set.
mleiha-01.jpg,downloaded,https://sharjah24.ae/-/media/2021/March-2021/30/Te3.jpg,https://sharjah24.ae/en/Articles/2021/03/30/Mleiha--An-excellent-spot-for-stargazing-and-photography,Mleiha stargazing,1,hero · official,the signature wide shot,Sharjah government media photograph supplied for Mleiha; crop-safe 16:9 night scene with telescope and branded guide vehicle beneath the stars.
mleiha-02.jpg,downloaded,https://cms.shurooq.gov.ae/uploads/Fossil_Rock_top_view_copy_cd44c4f550.jpg,https://shurooq.gov.ae/portfolio/mleiha,Mleiha stargazing,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Shurooq gallery photograph; aerial view of Fossil Rock and the surrounding Mleiha desert establishes the exact landscape seen after dark.
mleiha-03.jpg,not_found,,,Mleiha stargazing,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The current Mleiha site exposed no reusable still gallery; official government sources supplied one exact night scene and one strong destination context image but no attributable candid of comparable quality.
mleiha-04.jpg,not_found,,,Mleiha stargazing,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Instagram assets were not durably downloadable with exact provenance; later search results repeated the official telescope photograph or used unrelated generic night skies.
talise-01.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/a51e7f14c9cc462c83c5301b6177a361?v=b2ca7861,https://www.jumeirah.com/fr/article/stories/dubai/the-fascinating-details-of-talise-ottoman-spa,Talise Ottoman Spa,1,hero · official,the signature wide shot,Official Jumeirah editorial photograph; dramatic crop-safe pool interior with Ottoman lanterns and a guest establishes the exact spa experience.
talise-02.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/71ff99e9064c4b69923d369274e7bc11?v=19f5a0e8,https://www.jumeirah.com/fr/article/stories/dubai/the-fascinating-details-of-talise-ottoman-spa,Talise Ottoman Spa,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Jumeirah editorial photograph; close study of the monumental turquoise spa door and its intricate metalwork.
talise-03.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/51e05a9559564cd19b4177547505e1c0?v=c1228a1e,https://www.jumeirah.com/fr/article/stories/dubai/the-fascinating-details-of-talise-ottoman-spa,Talise Ottoman Spa,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Jumeirah editorial photograph illustrating a couples treatment; exact venue imagery substitutes for inaccessible review photography.
